game_id,season
10700044,2007
10700047,2007
10700048,2007
10700049,2007
10700050,2007
10700051,2007
10700052,2007
10700054,2007
10700055,2007
10700056,2007
10700057,2007
10700058,2007
10700059,2007
10700060,2007
10700061,2007
10700062,2007
10700063,2007
10700064,2007
10700066,2007
10700067,2007
10700068,2007
10700069,2007
10700070,2007
10700071,2007
10700072,2007
10700073,2007
10700074,2007
10700075,2007
10700076,2007
10700077,2007
10700078,2007
10700079,2007
10700080,2007
10700081,2007
10700082,2007
10700083,2007
10700084,2007
10700085,2007
10700088,2007
10700089,2007
10700090,2007
10700091,2007
10700092,2007
10700093,2007
10700095,2007
10700096,2007
10700097,2007
10700098,2007
10700099,2007
10700100,2007
10700101,2007
10700102,2007
10700103,2007
10700104,2007
10700105,2007
10700106,2007
10700108,2007
10700109,2007
10800001,2008
10800002,2008
10800003,2008
10800004,2008
10800007,2008
10800008,2008
10800009,2008
10800010,2008
10800011,2008
10800012,2008
10800013,2008
10800014,2008
10800015,2008
10800016,2008
10800017,2008
10800018,2008
10800019,2008
10800020,2008
10800021,2008
10800022,2008
10800024,2008
10800025,2008
10800026,2008
10800027,2008
10800028,2008
10800029,2008
10800030,2008
10800031,2008
10800032,2008
10800033,2008
10800034,2008
10800035,2008
10800036,2008
10800037,2008
10800038,2008
10800039,2008
10800040,2008
10800042,2008
10800043,2008
10800044,2008
10800046,2008
10800049,2008
10800050,2008
10800051,2008
10800052,2008
10800053,2008
10800054,2008
10800055,2008
10800056,2008
10800057,2008
10800059,2008
10800061,2008
10800063,2008
10800064,2008
10800067,2008
10800070,2008
10800071,2008
10800072,2008
10800073,2008
10800076,2008
10800077,2008
10800078,2008
10800079,2008
10800080,2008
10800083,2008
10800084,2008
10800085,2008
10800086,2008
10800088,2008
10800089,2008
10800090,2008
10800091,2008
10800092,2008
10800093,2008
10800094,2008
10800095,2008
10800096,2008
10800097,2008
10800098,2008
10800099,2008
10800101,2008
10800102,2008
10800103,2008
10800104,2008
10800105,2008
10800106,2008
10800107,2008
10800108,2008
10800109,2008
10800110,2008
10800111,2008
10800112,2008
10800113,2008
